Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Bosna i Hercegovina,12/28/2020,48.4,32.1,43.2,25.7,,0.53,,5.97,20.8,193.52,50.8,9.1,81.9,72.85,"Rain, Overcast"
Bosna i Hercegovina,12/29/2020,52.4,39.5,46.5,33.9,,0.34,,46.06,22,177.13,35.8,9,46.8,66.17,"Rain, Partially cloudy"
Bosna i Hercegovina,12/30/2020,49.1,40.7,44.2,36.2,,1.12,,47.64,8.8,166.33,,6.8,67.3,87.17,"Rain, Partially cloudy"
Bosna i Hercegovina,12/31/2020,43.7,30.8,38.5,37.1,,0.36,,35.14,4.5,225.88,,6.9,57.8,92.88,"Rain, Partially cloudy"
Bosna i Hercegovina,01/01/2021,44.7,29.5,36.8,37.2,,0.23,,49.21,4.5,164.08,28.9,8.7,29.5,79.41,"Rain, Partially cloudy"
Bosna i Hercegovina,01/02/2021,49.3,38.1,44.9,34.6,,0.07,,49.21,15.5,135.58,26.4,9.4,33.3,61.56,"Rain, Partially cloudy"
Bosna i Hercegovina,01/03/2021,46.5,38.5,41.5,33.5,,1.19,,50.39,15.5,128.04,,8.7,52.9,80.1,"Rain, Partially cloudy"
Bosna i Hercegovina,01/04/2021,42.4,35.9,39,31.2,,0.81,,51.97,8.8,216.42,,8.7,57.8,78.91,"Rain, Partially cloudy"
Bosna i Hercegovina,01/05/2021,44.8,31.7,38.3,27.3,,0.25,,52.36,8.9,163.13,30,7.7,43.1,80.98,"Rain, Partially cloudy"
Bosna i Hercegovina,01/06/2021,43.4,36.8,40.2,31.4,,1.72,,59.06,9,190,,6.6,65.4,85.58,"Rain, Partially cloudy"
Bosna i Hercegovina,01/07/2021,39.4,32.7,35.4,28.4,,1.49,,62.99,6.7,203.88,,7.3,64.3,91.72,"Rain, Partially cloudy"
Bosna i Hercegovina,01/08/2021,35.9,32.2,33.5,29.2,,0.32,,48.86,4.4,247,,3.1,67.1,95.42,"Rain, Partially cloudy"
Bosna i Hercegovina,01/09/2021,33.9,30.5,32.2,22.5,,0.23,,50.87,13.3,152.25,,6.5,67,86.89,"Rain, Partially cloudy"
Bosna i Hercegovina,01/10/2021,33.1,27.3,30.3,23.7,,0.32,,51.59,4.6,242.17,,4.3,67.1,91.62,"Rain, Partially cloudy"
Bosna i Hercegovina,01/11/2021,29,26.3,27.8,22.4,,0.78,,52.05,4.5,311.71,,4.5,71.2,92.35,"Rain, Partially cloudy"
Bosna i Hercegovina,01/12/2021,31.2,26.4,28.3,21,,0,,4.04,4.5,318.67,,4.1,67,91.07,Partially cloudy
Bosna i Hercegovina,01/13/2021,31.3,21.5,27.6,13.1,,6.35,,72.05,6.7,232.17,,4.4,59.9,88.86,"Rain, Partially cloudy"
Bosna i Hercegovina,01/14/2021,28.1,16.9,23.4,4.8,,0.28,,52.51,11.1,193,,5,62.2,85.5,"Rain, Partially cloudy"
